State,County,Accident_Count
AK,Aleutians East,0
AK,Aleutians West,0
AK,Anchorage,0
AK,Bethel,0
AK,Bristol Bay,0
AK,Denali,0
AK,Dillingham,0
AK,Fairbanks North Star,0
AK,Haines,0
AK,Hoonah-Angoon,0
AK,Juneau,0
AK,Kenai Peninsula,0
AK,Ketchikan Gateway,0
AK,Kodiak Island,0
AK,Kusilvak,0
AK,Lake and Peninsula,0
AK,Matanuska-Susitna,0
AK,Nome,0
AK,North Slope,0
AK,Northwest Arctic,0
AK,Petersburg,0
AK,Prince of Wales-Hyder,0
AK,Sitka,0
AK,Skagway,0
AK,Southeast Fairbanks,0
AK,Valdez-Cordova,0
AK,Wrangell,0
AK,Yakutat,0
AK,Yukon-Koyukuk,0
AL,Autauga,414
AL,Baldwin,583
AL,Barbour,26
AL,Bibb,24
AL,Blount,579
AL,Bullock,26
AL,Butler,146
AL,Calhoun,99
AL,Chambers,43
AL,Cherokee,12
AL,Chilton,739
AL,Choctaw,3
AL,Clarke,10
AL,Clay,1
AL,Cleburne,121
AL,Coffee,102
AL,Colbert,75
AL,Conecuh,65
AL,Coosa,7
AL,Covington,24
AL,Crenshaw,122
AL,Cullman,518
AL,Dale,126
AL,Dallas,105
AL,DeKalb,67
AL,Elmore,400
AL,Escambia,72
AL,Etowah,40
AL,Fayette,20
AL,Franklin,3
AL,Geneva,43
AL,Greene,82
AL,Hale,9
AL,Henry,34
AL,Houston,438
AL,Jackson,43
AL,Jefferson,4076
AL,Lamar,6
AL,Lauderdale,29
AL,Lawrence,12
AL,Lee,357
AL,Limestone,746
AL,Lowndes,189
AL,Macon,203
AL,Madison,2444
AL,Marengo,9
AL,Marion,53
AL,Marshall,31
AL,Mobile,1466
AL,Monroe,12
AL,Montgomery,2629
AL,Morgan,245
AL,Perry,4
AL,Pickens,22
AL,Pike,373
AL,Randolph,3
AL,Russell,189
AL,Shelby,691
AL,St. Clair,233
AL,Sumter,63
AL,Talladega,125
AL,Tallapoosa,22
AL,Tuscaloosa,2386
AL,Walker,340
AL,Washington,9
AL,Wilcox,8
AL,Winston,15
AR,Arkansas,4
AR,Ashley,22
AR,Baxter,13
AR,Benton,225
AR,Boone,16
AR,Bradley,18
AR,Calhoun,18
AR,Carroll,23
AR,Chicot,39
AR,Clark,87
AR,Clay,16
AR,Cleburne,22
AR,Cleveland,50
AR,Columbia,21
AR,Conway,133
AR,Craighead,152
AR,Crawford,125
AR,Crittenden,340
AR,Cross,5
AR,Dallas,28
AR,Desha,13
AR,Drew,22
AR,Faulkner,158
AR,Franklin,48
AR,Fulton,7
AR,Garland,90
AR,Grant,28
AR,Greene,37
AR,Hempstead,46
AR,Hot Spring,127
AR,Howard,14
AR,Independence,51
AR,Izard,4
AR,Jackson,11
AR,Jefferson,93
AR,Johnson,70
AR,Lafayette,4
AR,Lawrence,44
AR,Lee,1
AR,Lincoln,12
AR,Little River,7
AR,Logan,7
AR,Lonoke,218
AR,Madison,24
AR,Marion,4
AR,Miller,76
AR,Mississippi,123
AR,Monroe,44
AR,Montgomery,8
AR,Nevada,28
AR,Newton,1
AR,Ouachita,54
AR,Perry,19
AR,Phillips,0
AR,Pike,9
AR,Poinsett,44
AR,Polk,26
AR,Pope,114
AR,Prairie,101
AR,Pulaski,2038
AR,Randolph,19
AR,Saline,228
AR,Scott,26
AR,Searcy,20
AR,Sebastian,245
AR,Sevier,7
AR,Sharp,26
AR,St. Francis,203
AR,Stone,12
AR,Union,29
AR,Van Buren,30
AR,Washington,211
AR,White,114
AR,Woodruff,0
AR,Yell,40
AZ,Apache,341
AZ,Cochise,102
AZ,Coconino,819
AZ,Gila,327
AZ,Graham,55
AZ,Greenlee,19
AZ,La Paz,307
AZ,Maricopa,16885
AZ,Mohave,722
AZ,Navajo,306
AZ,Pima,8117
AZ,Pinal,784
AZ,Santa Cruz,0
AZ,Yavapai,1132
AZ,Yuma,152
CA,Alameda,15190
CA,Alpine,84
CA,Amador,593
CA,Butte,1726
CA,Calaveras,786
CA,Colusa,420
CA,Contra Costa,8313
CA,Del Norte,519
CA,El Dorado,2323
CA,Fresno,7033
CA,Glenn,344
CA,Humboldt,1684
CA,Imperial,49
CA,Inyo,396
CA,Kern,9224
CA,Kings,1217
CA,Lake,987
CA,Lassen,607
CA,Los Angeles,85035
CA,Madera,1975
CA,Marin,2280
CA,Mariposa,354
CA,Mendocino,1632
CA,Merced,2904
CA,Modoc,200
CA,Mono,385
CA,Monterey,4007
CA,Napa,1600
CA,Nevada,1671
CA,Orange,18662
CA,Placer,3307
CA,Plumas,412
CA,Riverside,14834
